App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:57:04 PM","1 min 20 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
35737,0,35740,3423312,35764,7,35657,3,35765,1,
35838,0,35840,3424800,35857,14,35765,3,35858,1,
35939,0,35944,3425232,35963,9,35858,3,35964,1,
36040,0,36043,3425728,36061,7,35963,3,36062,1,
36141,0,36144,3426224,36166,6,36061,3,36167,1,
36243,0,36245,3426596,36273,7,36166,3,36273,1,
36344,8,36348,3428084,36361,7,36273,3,36361,1,
36443,8,36445,3418412,36455,15,36361,3,36456,1,
36545,0,36549,3418628,36574,5,36456,3,36574,1,
36646,0,36650,3419500,36675,9,36574,3,36676,1,
36747,0,36751,3419624,36772,8,36675,3,36773,1,
36848,0,36852,3420368,36878,9,36772,3,36879,1,
36950,0,36953,3420864,36973,10,36878,3,36973,1,
37051,0,37054,3421484,37074,7,36973,3,37075,1,
37153,0,37157,3421452,37184,5,37075,3,37185,1,
37254,0,37257,3422072,37276,7,37185,3,37277,1,
37354,0,37355,3423064,37365,10,37276,3,37366,1,
37456,0,37460,3423932,37480,8,37366,3,37480,1,
37556,0,37558,3424892,37575,13,37480,3,37575,1,
37657,0,37660,3425388,37683,7,37575,3,37683,1,
37760,0,37762,3426008,37782,6,37683,3,37783,1,
37860,0,37865,3426472,37890,8,37782,3,37891,1,
37961,0,37965,3427060,37983,10,37891,3,37984,1,
38062,0,38063,3417264,38070,13,37984,3,38071,1,
38163,0,38164,3418256,38173,13,38070,3,38173,1,
38263,0,38265,3420592,38275,40,38173,3,38276,1,
38364,0,38366,3421212,38377,28,38276,3,38377,1,
38464,0,38465,3422368,38471,44,38377,3,38471,1,
38564,0,38565,3427176,38569,61,38471,3,38569,1,
38665,0,38667,3428888,38675,30,38569,3,38675,1,
38765,0,38766,3430100,38774,31,38675,3,38774,1,
38870,0,38872,3431620,38879,26,38774,3,38879,1,
38970,0,38970,3432412,38975,41,38879,3,38975,1,
39071,0,39074,3433744,39082,30,38975,3,39082,1,
39172,0,39173,3434364,39181,31,39082,3,39182,1,
39273,0,39274,3435108,39281,14,39181,3,39282,1,
39373,0,39374,3435976,39380,15,39282,3,39380,1,
39473,0,39475,3438688,39503,57,39380,3,39503,1,
39574,0,39615,3440920,39624,86,39503,3,39625,1,
39675,0,39676,3441308,39682,57,39625,3,39682,1,
39776,0,39777,3438644,39783,20,39682,3,39783,1,
39879,0,39881,3420292,39895,26,39783,3,39896,1,
39980,0,39983,3420540,39999,8,39896,3,40000,1,
40081,0,40084,3420664,40103,8,40000,3,40104,1,
40182,0,40187,3420772,40207,7,40104,3,40208,1,
40284,5,40287,3421020,40308,7,40208,3,40308,1,
40385,5,40389,3421268,40415,7,40308,3,40415,1,
40486,5,40489,3421764,40498,18,40415,3,40498,1,
40589,5,40592,3421872,40617,21,40498,3,40618,1,
40688,5,40689,3421996,40697,21,40618,3,40697,1,
40790,5,40793,3422228,40813,16,40697,3,40813,1,
40893,5,40895,3422600,40901,13,40813,3,40901,1,
40994,5,40995,3422848,40999,24,40901,3,40999,1,
41094,5,41095,3422832,41101,37,40999,3,41101,1,
41195,5,41196,3423308,41208,36,41101,3,41208,1,
41296,5,41297,3423528,41304,19,41208,3,41304,1,
41396,5,41397,3423616,41405,27,41304,3,41405,1,
41497,5,41499,3424168,41510,22,41405,3,41511,1,
41598,5,41600,3424292,41611,21,41511,3,41612,1,
41699,5,41701,3424524,41711,16,41612,3,41711,1,
41800,0,41802,3425144,41812,14,41711,3,41812,1,
41851,0,41853,3425144,41877,8,41812,3,41877,1,
42004,0,42008,3425144,42035,9,41877,3,42035,1,
42106,0,42110,3425332,42131,11,42035,3,42132,1,
42155,0,42157,3425440,42175,15,42132,3,42175,1,
42257,0,42260,3425672,42280,6,42175,3,42281,1,
42358,0,42361,3425516,42381,5,42280,3,42381,1,
42460,0,42462,3425764,42476,8,42381,3,42477,1,
42560,0,42564,3425764,42585,8,42477,3,42586,1,
42663,0,42667,3425648,42695,13,42585,3,42696,1,
42766,0,42769,3425976,42790,5,42696,3,42790,1,
42866,0,42869,3426332,42884,10,42790,3,42884,1,
42967,0,42968,3427448,42976,29,42884,3,42977,1,
43067,0,43069,3427184,43085,36,42977,3,43085,1,
43169,0,43170,3427340,43175,53,43085,3,43176,1,
43270,0,43271,3428952,43279,40,43175,3,43279,1,
43371,0,43373,3430192,43383,16,43279,3,43384,1,
43473,0,43474,3430812,43484,14,43384,3,43485,1,
43575,0,43578,3430672,43596,7,43485,3,43596,1,
43676,0,43678,3429028,43695,13,43596,3,43695,1,
43777,0,43779,3429028,43796,6,43695,3,43796,1,
43881,0,43889,3429384,43908,5,43796,3,43909,1,
43979,0,43981,3429508,44001,12,43908,3,44002,1,
44079,0,44081,3429584,44088,11,44002,3,44088,1,
44179,0,44180,3429552,44187,30,44088,3,44187,1,
44281,0,44284,3429304,44296,19,44187,3,44297,1,
44384,0,44388,3429428,44407,5,44297,3,44408,1,
44485,0,44488,3429508,44500,8,44407,3,44500,1,
44587,0,44591,3430112,44612,14,44500,3,44613,1,
44686,0,44688,3427648,44710,24,44613,3,44711,1,
44785,0,44786,3451728,44794,54,44711,3,44794,1,
44888,0,44891,3399896,44902,40,44794,3,44902,1,
44988,0,44989,3399136,45001,21,44902,3,45001,1,
45089,8,45091,3399152,45101,14,45001,3,45101,1,
45190,8,45191,3399260,45200,13,45101,3,45200,1,
45291,8,45293,3399724,45302,6,45200,3,45303,1,
45392,8,45393,3400096,45402,5,45303,3,45403,1,
45493,8,45495,3399848,45505,9,45403,3,45506,1,
45595,8,45598,3399956,45625,11,45506,3,45626,1,
45695,8,45699,3399956,45719,6,45625,3,45720,1,
45797,8,45799,3400080,45814,11,45720,3,45814,1,
45898,8,45906,3400064,45918,8,45814,3,45919,1,
45999,8,46001,3400452,46016,10,45919,3,46017,1,
46100,8,46103,3400656,46122,8,46017,3,46123,1,
46202,8,46205,3400408,46217,6,46123,3,46217,1,
46303,8,46306,3400392,46326,8,46217,3,46327,1,
46405,8,46408,3400392,46427,5,46326,3,46428,1,
46505,0,46508,3400392,46527,6,46428,3,46528,1,
46607,0,46610,3400608,46635,6,46527,3,46635,1,
46709,0,46710,3400484,46727,11,46635,3,46727,1,
46812,0,46816,3400468,46835,6,46727,3,46835,1,
46913,0,46916,3400716,46934,8,46835,3,46934,1,
47015,0,47018,3400964,47034,8,46934,3,47035,1,
47122,0,47125,3401072,47145,6,47035,3,47145,1,
47223,0,47227,3400824,47248,4,47145,3,47249,1,
47324,0,47326,3400824,47346,9,47249,3,47347,1,
47426,0,47428,3401444,47446,10,47346,3,47446,1,
47529,0,47530,3398948,47535,15,47446,3,47536,1,
